timestamp,open,high,low,close,volume
2021-05-11,249.28,2831.02,249.28,364.01,1773623.0
2021-05-12,364.06,390.0,255.0,258.02,1291354.53
2021-05-13,258.0,346.81,252.0,301.44,815229.63
2021-05-14,301.48,341.0,291.39,304.13,462179.09
2021-05-15,304.1,305.03,240.0,246.06,540015.89
2021-05-16,246.06,263.68,205.07,225.19,507341.61
2021-05-17,225.16,226.35,184.39,195.59,520889.77
2021-05-18,195.58,205.82,160.34,163.47,690553.08
2021-05-19,163.66,179.12,92.0,122.79,1274193.75
2021-05-20,122.83,224.11,103.63,164.15,3769557.35
2021-05-21,163.92,186.91,120.0,145.88,2026467.63
2021-05-22,145.87,169.53,124.76,146.23,1206414.61
2021-05-23,145.92,165.59,120.62,143.94,1455176.26
2021-05-24,143.97,163.6,135.5,147.67,1260806.93
2021-05-25,147.62,157.0,122.6,134.04,1029887.3
2021-05-26,134.01,152.35,131.89,142.67,1080307.24
2021-05-27,142.53,145.79,129.65,132.12,684980.11
2021-05-28,132.13,132.94,110.08,115.65,832199.55
2021-05-29,115.65,119.76,105.6,110.75,500541.51
2021-05-30,110.77,118.97,104.4,111.9,456137.64
2021-05-31,111.87,115.36,105.15,114.65,496847.77
2021-06-01,114.65,117.11,106.47,107.58,418636.87
2021-06-02,107.58,113.06,101.97,108.01,806345.16
2021-06-03,107.89,136.62,105.2,124.54,1666717.82
2021-06-04,124.5,124.54,105.24,108.78,1329668.01
2021-06-05,108.71,116.26,100.0,104.55,755203.97
2021-06-06,104.5,110.0,102.39,104.49,512306.77
2021-06-07,104.42,106.73,88.88,91.13,819469.64
2021-06-08,91.14,94.37,76.72,81.31,1081773.46
2021-06-09,81.31,88.99,77.1,81.55,1226553.49
2021-06-10,81.55,83.69,65.35,66.57,2095644.84
2021-06-11,66.54,72.39,56.14,58.49,2119023.27
2021-06-12,58.4,67.66,52.92,61.08,2179939.38
2021-06-13,61.07,67.0,57.18,64.45,2035143.16
2021-06-14,64.44,70.81,61.88,66.69,1588608.47
2021-06-15,66.69,68.88,58.58,60.39,1801762.13
2021-06-16,60.32,60.41,54.72,55.34,1323822.44
2021-06-17,55.34,60.18,51.02,54.09,1388646.51
2021-06-18,54.12,55.54,46.89,48.44,1305078.1
2021-06-19,48.44,54.9,46.33,48.62,1737401.79
2021-06-20,48.64,50.7,44.0,47.1,1463587.92
2021-06-21,47.12,47.64,36.2,36.61,2441109.22
2021-06-22,36.66,40.13,31.82,34.54,2316371.81
2021-06-23,34.52,41.5,32.86,37.75,2192089.96
2021-06-24,37.74,38.89,33.12,34.6,2212299.09
2021-06-25,34.61,36.7,30.7,31.13,2238122.07
2021-06-26,31.11,33.75,28.26,30.34,2335156.08
2021-06-27,30.32,46.0,29.45,43.0,4776729.13
2021-06-28,42.99,51.5,40.48,51.26,5785634.89
2021-06-29,51.21,59.45,46.79,54.22,5280307.53
2021-06-30,54.16,54.69,43.2,49.94,6250390.78
2021-07-01,49.92,50.79,44.2,45.69,3381335.99
2021-07-02,45.69,47.43,41.42,43.87,2459456.31
2021-07-03,43.86,50.0,42.72,48.74,2483121.27
2021-07-04,48.77,50.98,46.43,46.71,2116096.87
2021-07-05,46.72,48.0,44.0,46.22,2131768.05
2021-07-06,46.24,48.45,45.0,46.2,1682990.23
2021-07-07,46.2,47.95,45.0,45.37,1486321.71
2021-07-08,45.37,45.5,39.16,40.28,1723697.25
2021-07-09,40.27,42.52,37.28,40.6,1377879.2
2021-07-10,40.57,42.11,37.61,38.64,1190654.85
2021-07-11,38.62,41.46,37.73,39.71,1073749.97
2021-07-12,39.74,40.99,35.91,37.22,1035412.03
2021-07-13,37.21,39.95,35.21,38.92,1471520.55
2021-07-14,38.98,39.86,35.27,36.89,2086244.42
2021-07-15,36.86,38.39,35.3,35.96,1358762.63
2021-07-16,35.99,36.12,32.14,32.37,1117974.43
2021-07-17,32.36,33.51,31.13,32.27,998923.24
2021-07-18,32.28,34.8,31.86,32.36,899628.77
2021-07-19,32.36,32.59,29.81,30.92,876692.94
2021-07-20,30.92,31.55,26.9,28.53,1376424.88
2021-07-21,28.54,35.16,27.74,33.51,2226540.52
2021-07-22,33.49,35.5,32.15,33.75,2705596.56
2021-07-23,33.75,35.09,31.68,34.65,1721674.64
2021-07-24,34.65,45.74,33.83,43.48,4780213.02
2021-07-25,43.49,46.04,40.38,42.6,4365420.01
2021-07-26,42.59,48.2,40.48,40.6,3939219.13
2021-07-27,40.59,41.79,37.46,41.01,3223737.65
2021-07-28,41.03,43.85,39.27,40.75,2427977.48
2021-07-29,40.77,41.92,39.03,41.25,1347700.76
2021-07-30,41.25,42.76,38.19,42.19,1766069.8
2021-07-31,42.21,43.97,40.36,41.97,1840642.86
2021-08-01,41.95,44.66,40.61,40.87,1879639.57
2021-08-02,40.86,41.51,39.71,40.18,1304588.71
2021-08-03,40.2,40.66,37.51,38.53,1391723.45
2021-08-04,38.55,40.46,37.78,39.32,1373394.84
2021-08-05,39.31,42.75,38.12,42.1,1605678.43
2021-08-06,42.1,52.5,40.45,48.27,4556012.16
2021-08-07,48.27,66.18,47.87,61.65,7547111.04
2021-08-08,61.66,62.29,53.2,55.27,3954451.43
2021-08-09,55.23,68.9,52.73,64.25,5812629.37
2021-08-10,64.25,76.58,61.37,71.6,6028075.78
2021-08-11,71.61,77.0,65.57,67.16,4614502.53
2021-08-12,67.14,72.32,60.0,64.18,3749481.74
2021-08-13,64.2,69.09,62.76,68.23,2327234.7
2021-08-14,68.25,68.33,62.05,64.2,2359398.3
2021-08-15,64.21,65.0,58.28,63.4,2267542.06
2021-08-16,63.4,67.9,60.07,61.06,3043095.42
2021-08-17,61.06,64.2,54.34,56.05,2928722.01
2021-08-18,56.11,61.53,54.1,58.53,2646746.85
2021-08-19,58.53,69.08,57.74,67.15,4652427.94
2021-08-20,67.13,71.0,65.68,67.91,2833802.04
2021-08-21,67.91,69.42,63.8,64.58,1848095.15
2021-08-22,64.62,67.0,61.09,64.59,1371646.25
2021-08-23,64.59,67.62,63.35,65.62,1638778.66
2021-08-24,65.63,66.9,57.55,59.23,1837048.65
2021-08-25,59.22,63.8,55.85,62.18,2217825.28
2021-08-26,62.18,63.2,56.01,56.45,2388830.12
2021-08-27,56.51,63.6,54.5,62.7,2790034.75
2021-08-28,62.73,68.64,61.75,65.08,3246411.13
2021-08-29,65.1,74.8,61.52,72.0,4740028.97
2021-08-30,72.04,73.17,63.61,64.73,4208025.05
2021-08-31,64.75,67.8,61.84,62.78,2958933.76
2021-09-01,62.79,66.46,60.51,66.24,2226574.3
2021-09-02,66.25,68.91,64.29,64.58,2150659.27
